director,director_score
Ross Katz,4
Luke Scott,3
Kelly Fremon Craig,4
Babak Najafi,5
Dan Kwan,3
Jake Szymanski,4
Mike Thurmeier,5
Michael Grandage,3
Ivan Sen,3
Dave Green,5
Elizabeth Wood,3
David L. Hunt,0
Anna Biller,3
Clay Kaytis,5
Hideaki Anno,5
Jeremy Gillespie,3
David Leveaux,3
Pablo Larraín,4
Peter Atencio,3
Andrew Neel,1
Travis Knight,5
Chris Peckover,3
Sam Liu,3
Amat Escalante,1
Jason Zada,4
John Krasinski,5
Maren Ade,4
Radhika Rao,3
Carles Torrens,1
Takeshi Nozue,3
Jonathan Jakubowicz,0
Susan Johnson,1
Aniruddha Roy Chowdhury,3
Babak Anvari,3
Ewan McGregor,3
Sarah Adina Smith,1
Simon Aboud,3
Michael Gracey,5
Hallie Meyers-Shyer,4
Jordan Peele,5
Sebastián Lelio,4
David Leitch,5
Taylor Sheridan,4
Greta Gerwig,5
Aaron Sorkin,4
Dean Devlin,5
Brian Fee,5
Lucia Aniello,4
Dax Shepard,3
Chris McKay,5
Michael Noer,4
Cory Finley,0
Coralie Fargeat,3
James Franco,4
Johannes Roberts,5
Stella Meghie,4
Jamie M. Dagg,1
John Carroll Lynch,3
Björn Runge,4
Trey Edward Shults,4
Ry Russo-Young,3
Matt Spicer,3
Denise Di Novi,3
Dorota Kobiela,4
Hany Abu-Assad,4
Francis Lee,3
Janus Metz,3
Kogonada,3
Jeff Baena,3
Stuart Hazeldine,5
F. Javier Gutiérrez,4
Chloé Zhao,3
Charlie Bean,4
Marc Meyers,3
Andrew Jay Cohen,0
Sergio G. Sánchez,4
Max Winkler,3
Gabriela Cowperthwaite,4
Benny Boom,4
Andy Serkis,3
Hun Jang,5
Mike White,3
Ash Avildsen,3
Justin Chon,3
Fatih Akin,3
Richie Keen,4
Ken Marino,4
Paolo Virzì,4
Michael Carney,0
Jayson Thiessen,4
Jeffrey Blitz,1
Lawrence Sher,3
Luis Prieto,4
Jeremy Dyson,3
Jonathan Teplitzky,3
Eliza Hittman,3
Haifaa Al-Mansour,3
Kevin Phillips,1
Robin Campillo,3
Shin-yeon Won,4
Pat Healy,1
Dominic Cooke,3
Simon Baker,3
Byung-gil Jung,3
Yong-hwa Kim,5
Ari Aster,5
Bob Persichetti,5
Christian Gudegast,4
Bradley Cooper,5
Bo Burnham,4
Stefano Sollima,4
Gerard McMurray,5
Claire McCarthy,0
Corin Hardy,5
Jeff Tomsic,4
Donovan Marsh,0
Duncan Skiles,3
Otto Bathurst,0
Nadine Labaki,4
Nicolai Fuglsig,4
Susanna Fogel,4
Josie Rourke,4
Phil Johnston,5
Christian Rivers,0
Steven Caple Jr.,5
Jonah Hill,0
Chang-dong Lee,3
Aneesh Chaganty,5
Kay Cannon,5
Carlos López Estrada,3
Abby Kohn,4
Drew Pearce,0
Bill Holderman,5
Crispian Mills,3
Boots Riley,4
Steven S. DeKnight,5
Rob Greenberg,5
Joe Penna,3
Mathew Cullen,0
Sriram Raghavan,4
Anthony Maras,4
Bart Layton,3
Kevin Connolly,0
Stacie Passon,1
Desiree Akhavan,3
Adam Robitel,5
David Kerr,5
Paul Dano,3
Bethany Ashton Wolf,4
Shin'ichirô Ushijima,4
Ali Abbasi,3
Nash Edgerton,4
Sam Levinson,0
Stephen Susco,4
Karey Kirkpatrick,5
Gregory Plotkin,4
Matthew Heineman,3
Tom Harper,3
Diederik Van Rooijen,4
Carol Morley,3
Yarrow Cheney,5
Wash Westmoreland,4
Tim Kirkby,0
Gustav Möller,3
Brady Corbet,3
Emma Tammi,3
Becca Gleason,1
Blake Harris,3
Director X.,3
Nick Park,3
Andrew Erwin,5
Kim Nguyen,3
Tatsuya Nagamine,5
Jonathan Baker,0
Pella Kagerman,1
Pernille Fischer Christensen,3
John Andreas Andersen,4
Kenji Nagasaki,4
Perry Lang,3
Stephen Merchant,4
Jenny Gage,4
Matt Bettinelli-Olpin,4
Michael Engler,5
Olivia Wilde,4
Robin Bissell,3
Josh Cooley,5
Simon Kinberg,4
David Yarovesky,4
Tyler Nilson,5
Gene Stupnitsky,5
Justin Baldoni,5
Hans Petter Moland,4
Gary Dauberman,5
Adrian Grunberg,4
Nisha Ganatra,4
Joe Talbot,3
Michael Chaves,5
Thurop Van Orman,5
Kevin Kölsch,5
Riley Stearns,3
Vincent D'Onofrio,0
Lars Klevberg,4
Julius Onah,3
Joanna Hogg,3
Lulu Wang,4
Chris Addison,5
Jason Winer,1
Andrea Berloff,0
Elise Durán,3
Jill Culton,5
Todd Strauss-Schulson,4
Malik Bader,3
Gail Mancuso,4
Dome Karukoski,0
Lee Cronin,3
Paul Downs Colaizzo,3
Vikas Bahl,4
Dylan Brown,4
Won-Tae Lee,4
Fred Durst,0
Laure de Clermont-Tonnerre,3
Jesse V. Johnson,0
Frant Gwo,5
Waymon Boone,0
Roxann Dawson,4
Zara Hayes,3
Tina Gordon,4
Nicholas McCarthy,4
Yu Yang,5
Shawn Seet,3
John Stalberg Jr.,1
John Swab,1
Byeong-heon Lee,5
Noble Jones,3
J.J. Englert,3
Abhishek Varman,4
Abhishek Chaubey,3
Jagan Shakti,3
Melanie Martinez,0
Sujeeth,3
Sang-Geun Lee,4
Van Ling,3
Britt Poulton,3
Chuck Konzelman,4
Punit Malhotra,3
Joo-hwan Kim,4
Laxman Utekar,4
Akiv Ali,3
Lucio Castro,1
Alex Ranarivelo,3
Gorô Taniguchi,4
Hannah Pearl Utt,3
Robert Fernandez,3
Eddie Mensore,0
Kirill Mikhanovsky,3
Robbie Grewal,3
Le-Van Kiet,3
Shelly Chopra Dhar,3
Roxanne Benjamin,1
Tony Chan,5
Ali Abbas Zafar,4
Mark Bramble,3
Claudio Giovannesi,3
Richard Grieco,0
Tony Wash,0
Jerry Mitchell,3
Rich Christiano,3
Jung Da-Won,4
Drew Cullingham,1
T.C. Christensen,3
Indra Kumar,4
Shane Stanley,1
Nacho G. Velilla,4
Jazz Boon,5
Noo-ri Park,3
Marie Kreutzer,1
Andoy Ranay,0
Aneesh Daniel,3
Yutaka Uemura,3
Ariel Winograd,4
Antoinette Jadaone,3
Raj Kumar Gupta,3
Jason Kwan,4
Dylan Thomas Ellis,1
Jeffrey Nicholson,3
David Stuart Snell,0
Monia Chokri,3
Cathy Yan,5
Adil El Arbi,5
Jeff Fowler,5
Chris Sanders,0
Hu Guan,5
Scott Teems,1
Kenneth Smith,0
Teng Cheng,5
Scott Pryor,3
Marcus Brown,0
Kevin Shulman,1
Stefan C. Schaefer,0
Justin Kreinbrink,0
Joseph Ebanks,0
Dusty Dukatz,0
Nkanya Nkwai,0
James Randall,0
Pereko Mosia,0
