director,director_score
Steven Kampmann,3
Mira Nair,4
Yahoo Serious,4
Geoff Burrowes,3
Roger Vadim,3
Mike Leigh,4
Bruno Nuytten,3
Ken Kwapis,5
Catherine Breillat,3
Annabel Jankel,0
Aaron Norris,4
Jon Hess,3
Camilo Vila,3
Jim Wynorski,0
Ernest Thompson,0
Henry Winkler,4
Claire Denis,3
Andrew Fleming,4
Bernard Rose,0
James B. Harris,1
Paul Golding,0
Mike Figgis,4
Matthew Chapman,0
Gary Sinise,3
Glenn Gordon Caron,3
Joan Micklin Silver,4
David Stevens,3
Robert Englund,3
James Dearden,3
Keith Gordon,0
William Webb,0
Pen Densham,0
Janet Greek,0
Charles Sturridge,4
Martin Campbell,5
Gordon Hessler,3
Marisa Silver,0
Terence Davies,0
Daniel Goldberg,3
Christopher Crowe,0
Bill Fishman,0
Martin Donovan,0
Ron Clements,5
Joe Johnston,5
Steven Soderbergh,5
Jeremiah S. Chechik,4
Cameron Crowe,5
Eddie Murphy,4
Jim Sheridan,5
Richard Greenberg,3
Todd Holland,4
Jay Levey,3
William Shatner,4
Robert Radler,0
Phillip Noyce,5
Mark DiSalle,4
Gus Van Sant,5
Stephen Hopkins,4
Marc Rocco,4
Dominique Othenin-Girard,3
Kenneth Branagh,5
Rob Hedden,3
Michael Caton-Jones,5
Steve Kloves,4
Chris Walas,4
Joe Pytka,5
John Dahl,0
Michael Anderson,3
Uli Edel,3
Masami Hata,0
Carl Schenkel,0
Peter Bonerz,0
David Webb Peoples,3
Francis Veber,4
Thomas J. Wright,3
Larry Cohen,0
Mick Jackson,5
Jeff Burr,3
Christopher Guest,0
Bob Balaban,0
Gary David Goldberg,4
Norman René,4
John Howley,3
Euzhan Palcy,0
Dave Thomas,3
Hal Hartley,0
James Isaac,3
Mel Smith,5
Michael Herz,0
Takeshi Kitano,4
Richard Baskin,0
Jane Campion,4
Thomas Schlamme,0
Damian Harris,4
Robert Wise,3
Jim Wheat,0
Jim Kouf,4
Michael Schroeder,0
Ildikó Enyedi,0
Thierry Notz,3
Cedric Sundstrom,3
Will Mackenzie,3
Gérard Kikoïne,0
Robert Ellis Miller,0
Jeff Blyth,3
Patrice Leconte,3
John D. Hancock,4
Howard Brookner,0
Lee Grant,3
Michael A. Simpson,0
David Odell,3
Patrick Sheane Duncan,0
Nancy Savoca,3
Joel Zwick,5
Michael Fischa,3
Jerry Zucker,5
Kevin Costner,5
Ron Underwood,4
Volker Schlöndorff,4
Frank Marshall,5
Harry Hook,4
John Lafia,4
John Patrick Shanley,4
Richard Linklater,5
William Peter Blatty,4
Jack Nicholson,0
Sheldon Lettich,4
Dennis Dugan,5
Hendel Butoy,0
Reginald Hudlin,5
Tom Savini,3
Allan Moyle,3
Frank Henenlotter,0
Sally Mattison,3
Luis Mandoki,5
Abbas Kiarostami,3
Howard Franklin,0
Richard Stanley,3
James Orr,4
Andrew Bergman,5
Ralph S. Singleton,3
Tom Stoppard,3
John Harrison,4
Whit Stillman,4
Agnieszka Holland,4
Jean-Paul Rappeneau,3
Anthony Minghella,5
Bob Hathcock,4
Joseph Barbera,4
Bob Logan,3
George Armitage,0
Peter Israelson,0
Robert Resnikoff,4
Yimou Zhang,5
Martin Sheen,0
Adam Simon,3
Tom Ropelewski,0
Dario Argento,0
Jan Egleson,0
Roger Corman,0
Franco Amurri,4
Richard Correll,3
Robert Shaye,4
Ken Loach,4
Patrick Read Johnson,0
James Bond III,3
James D. Parriott,3
Yves Robert,3
Katt Shea,0
John Erman,4
Greydon Clark,3
Gregg Champion,0
Kristine Peterson,3
Jon Amiel,5
Sondra Locke,0
Christian Vincent,0
Haruki Kadokawa,0
Bernt Amadeus Capra,3
Michael Verhoeven,3
Guy Maddin,0
John Singleton,5
Bryan Gordon,4
Barry Sonnenfeld,5
Alfonso Cuarón,5
Gary Trousdale,5
Jon Avnet,5
Peter Hewitt,5
Michael Mak,0
William A. Graham,0
Ate de Jong,3
Dan Aykroyd,0
Krzysztof Kieslowski,3
Mario Van Peebles,4
Daniel Petrie Jr.,4
Marc Caro,0
Jack Bender,3
Rachel Talalay,0
Brian Levant,5
Lili Fini Zanuck,0
Isao Takahata,4
Sean Penn,4
Phil Nibbelink,4
Stephen Poliakoff,3
Michael Tolkin,3
David Kellogg,4
Burt Kennedy,3
Mark Herrier,3
Michael Karbelnikoff,0
Terry Hughes,4
Peter Chelsom,5
Jodie Foster,4
Bobcat Goldthwait,0
Lars von Trier,4
Tom DiCillo,3
Jonathan Wacks,0
Jerry Rees,0
Todd Haynes,4
Gabriele Salvatores,3
George Jackson,4
Simon Moore,0
József Gémes,0
Atom Egoyan,0
Maurice Phillips,0
