star,star_score
Samson Coulter,3
Kim Ok-bin,4
Brett Dalton,3
Douglas Smith,4
Ha Jung-woo,5
Constance Wu,5
John David Washington,5
Boyd Holbrook,5
Alden Ehrenreich,5
Bella Thorne,4
Lady Gaga,5
Elsie Fisher,4
Olivia Colman,5
Benicio Del Toro,4
Y'lan Noel,5
Demián Bichir,5
Hannah Murray,1
Sofia Boutella,3
Zain Al Rafeea,5
Thomasin McKenzie,4
Justin Theroux,4
Jovan Adepo,3
Claire Foy,3
Hera Hilmar,0
Sunny Suljic,0
Viola Davis,4
Yoo Ah-in,4
Leslie Mann,5
Angourie Rice,3
Lily Franky,5
Daveed Diggs,3
Aisling Franciosi,3
Jassa Ahluwalia,3
LaKeith Stanfield,4
Joanna Kulig,4
Lucy Hale,5
Graham Verchere,1
Storm Reid,4
Amber Heard,0
Ayushmann Khurrana,4
Spencer Reinhard,3
Aldis Hodge,0
Taissa Farmiga,1
Lin Shaye,5
Lucas Hedges,3
Ed Oxenbould,3
Alex Roe,4
Mahiro Takasugi,4
José Luis Ferrer,3
David Tennant,3
Eva Melander,3
Odessa Young,0
Colin Woodell,4
Mackenzie Foy,4
Cynthea Mercado,4
Rosamund Pike,3
Kyrie Irving,4
Shay Mitchell,4
KiKi Layne,4
Mamie Gummer,3
Alek Skarlatos,4
Chris O'Dowd,3
Jakob Cedergren,3
Tom Schilling,3
Caitlin Gerard,1
Tika Sumpter,1
Alia Shawkat,1
William Moseley,3
Deepika Padukone,5
Trevor Jackson,3
J. Michael Finley,5
Masako Nozawa,5
Myles Truitt,0
Emelie Garbers,1
Alba August,3
Wendi McLendon-Covey,4
Tiffany Haddish,4
Batsheva Dance Company,4
Daiki Yamashita,4
Taylor Russell,5
Himesh Patel,5
Josephine Langford,4
Roman Griffin Davis,5
Zachary Levi,5
Dean-Charles Chapman,5
Rosa Salazar,5
Lupita Nyong'o,5
Samara Weaving,4
David Harbour,3
Linda Hamilton,5
Isabela Merced,5
Donald Glover,5
Kyle Chandler,5
Sasha Luss,4
Noémie Merlant,4
Zack Gottsagen,5
Octavia Spencer,4
Haley Lu Richardson,5
Jimmie Fails,3
Patton Oswalt,5
Linda Cardellini,5
Zoe Margaret Colletti,5
Michael Ealy,4
Kotaro Daigo,5
Jake Schur,0
Marc Maron,3
Neil Young,3
Shuzhen Zhao,4
Dave Bautista,4
Billy Barratt,3
Chloe Bennet,5
Rebel Wilson,4
Seána Kerslake,3
Jillian Bell,4
Sushant Singh Rajput,3
Gina Rodriguez,3
Sofia Mali,4
Ma Dong-seok,4
Matthias Schoenaerts,3
Jing Wu,5
Louis Ashbourne Serkis,0
Caylee Cowan,0
Marcel Ruiz,4
Yanting Lü,5
Finn Little,3
Vijay Varma,4
Beau Knapp,1
Jake Choi,1
Lee Dong-yong,5
Yara Shahidi,0
Peta Murgatroyd,3
Varun Dhawan,4
Akshay Kumar,3
Melanie Martinez,0
Mrunal Thakur,4
Jo Jung-Suk,5
Tania Raymonde,3
Walton Goggins,3
Ashley Bratcher,4
Tiger Shroff,3
Seo Jun Park,4
Kartik Aaryan,4
Juan Barberini,1
Michael Roark,3
Jun Fukuyama,4
Hannah Pearl Utt,3
David Thorpe,3
Terry Serpico,0
Chris Galust,3
John Abraham,3
Veronica Ngo,3
Nawazuddin Siddiqui,3
Sonam Kapoor,3
Karina Fontes,1
Xiaoming Huang,5
Bonnie Langford,3
Francesco Di Napoli,3
Ace Young,0
Matt Henry,3
Brett Varvel,3
Mi-ran Ra,4
Spencer Brown,1
David McConnell,3
Vidyut Jammwal,3
Hanyu Zhang,5
Miko Hughes,1
Martha Higareda,4
Louis Koo,5
Ryu Jun-Yeol,3
Valerie Pachner,1
JC Santos,0
Sharman Joshi,3
Tesshô Genda,3
Bo Huang,5
Liza Soberano,3
Arjun Kapoor,3
Tony Ka Fai Leung,4
Cole Allen,1
Michael Saquella,3
Alexandra Bokova,0
Anne-Élisabeth Bossé,3
Elisabeth Moss,5
Ben Schwartz,5
Zhi-zhong Huang,5
Shea Whigham,1
Robert Pralgo,0
Guangtao Jiang,5
Scott Pryor,3
Dan Belcher,0
Kristina Klebe,1
Augie Tulba,0
Nicky Whelan,0
Billy Hartmann,0
Shannon Bond,0
Onyama Laura,0
Christina Roz,0
Siyabonga Mabaso,0
