star,star_score
Eileen Brennan,0
Emilio Estevez,5
Don Ameche,5
Clu Gulager,4
Demi Moore,5
Jonathan Pryce,0
Danny Glover,5
John Cusack,5
Tatsuya Nakadai,0
Maggie Smith,5
Chris Sarandon,4
Ethan Hawke,5
Griffin Dunne,3
Robert Englund,5
Paul Reubens,4
Lori Cardille,3
Joyce Hyser,4
William Katt,4
Grant Bardsley,0
Melanie Kinnaman,4
Jeffrey Combs,0
Taimak,4
Biff Yeager,3
James Spader,0
Lauren Hutton,3
Rob Morrow,3
Jackie Chan,5
Jeff Goldblum,5
Mikhail Baryshnikov,4
Doug McKeon,4
Saeed Jaffrey,3
Nicholas Rowe,3
Mickey Rourke,5
Bruno Lawrence,3
Ken Watanabe,4
Stan Ivar,0
Kurt McKinney,3
Mary Beth Hurt,4
Ken Ogata,0
Kevin Costner,5
Meredith Salenger,4
Anthony Edwards,0
Richard Chamberlain,0
Michael Dudikoff,4
Powers Boothe,4
Helen Shaver,3
Lewis Smith,3
Mia Farrow,4
Anton Glanzelius,4
John Stockwell,3
Jennifer Connelly,4
Stephen Geoffreys,3
Shannon Presby,3
Betsy Russell,4
John Murray,4
Louise Lasser,0
Kurt Thomas,3
James Whitmore,3
Sting,0
Mel Smith,3
Raymond Burr,3
Geraldine Page,4
Norma Aleandro,1
Sheila E.,4
John Erwin,3
Moreno D'E Bartolli,1
Joe Colligan,0
Glenn Close,5
Lenore Zann,3
Georgia Engel,4
Richard Farnsworth,0
Miranda Richardson,0
Susan Dey,0
Anthony Hopkins,5
Timothy Dalton,5
Judge Reinhold,4
Kate Nelligan,3
Coral Browne,3
Gabriel Byrne,0
Vanessa Redgrave,3
Susan Sarandon,5
Bettina Bush,3
Roland Giraud,3
John Rhys-Davies,0
Mario Van Peebles,4
Gala Videnovic,0
Barry Otto,0
Ed Harris,4
Klaus Maria Brandauer,1
Forrest Tucker,0
Fionnula Flanagan,0
Glenda Jackson,3
Raphael Sbarge,0
Denise Coward,0
Bruce Dern,4
John Gordon Sinclair,3
Jimmy Keegan,3
Peter Bland,0
Fabienne Babe,0
Jane Snowden,0
Nathalie Baye,3
Kader Boukhanef,0
Barry Jackson,0
Isabelle Huppert,4
Sigourney Weaver,5
Wil Wheaton,4
Paul Hogan,5
Charlie Sheen,5
Isabella Rossellini,3
Lea Thompson,4
Rick Moranis,5
Pat Morita,5
Crispin Glover,0
Ally Sheedy,4
Joey Cramer,4
Louise Smith,3
Corey Haim,4
Thom Mathews,4
Jean-Hugues Anglade,3
Louis Gossett Jr.,4
Gary Oldman,5
Michael Rooker,3
Bob Hoskins,5
Jason Lively,0
Erland Josephson,3
Bart Conner,3
Kate Capshaw,0
Vincent Price,3
Orson Welles,0
Michael Moriarty,3
Lucy Deakins,3
Jeff Daniels,4
Daryl Hannah,0
Tracy Camilla Johns,3
Gregory Hines,4
Tom Waits,3
Michel Piccoli,3
Kyôko Koizumi,4
Noam Almaz,1
Karen Black,0
Assumpta Serna,3
Deborah Foreman,4
Helena Bonham Carter,3
Yves Montand,4
Bryan Brown,0
Brian Kerwin,0
Oliver Reed,0
Danny DeVito,4
Richard Jordan,0
John Lithgow,4
Marc Price,3
Dirk Benedict,0
Whoopi Goldberg,5
Craig Sheffer,4
David Byrne,3
Peggy Ashcroft,1
Matthew Labyorteaux,4
Linda Carol,3
Stephen Lang,5
Diane Franklin,3
Farrah Fawcett,4
David Dukes,3
Marie Rivière,1
Andrew Prine,3
Daphne Zuniga,3
Todd Allen,3
Terence Stamp,3
Mitchell Gaylord,3
Colin Friels,0
Sally Kellerman,3
Patsy Kensit,3
Scott Valentine,3
Martin Hewitt,0
Ted Danson,4
Michael Schoeffling,1
Neil Dickson,0
Dominique Michel,3
James Karen,3
Blythe Danner,3
Pamela Adlon,3
Dexter Gordon,3
John Bolger,0
Daniel Jordano,3
Wayne Crawford,3
Shari Shattuck,3
Scott McGinnis,0
Maxine Miller,4
Mike Norris,0
Lorenzo Quinteros,0
Hugh Duncan Bigney Mitchell,3
Kristina Nehm,0
Mary Tyler Moore,3
Jonathan Crombie,3
Victor Love,0
Derek de Lint,3
Dennis Christopher,0
Leo Fong,0
Anouk Aimée,0
Cary Elwes,5
Jason Patric,4
Elisabeth Shue,5
Adrian Pasdar,0
Andrew McCarthy,5
Dolph Lundgren,0
Andrew Robinson,4
Christian Bale,5
Eric Stoltz,4
Lorraine Gary,4
Patrick Dempsey,5
Richard E. Grant,3
Mark Harmon,4
John Lone,4
Lou Diamond Phillips,5
Andre Gower,0
Donald Pleasence,4
Bruno Ganz,5
James Wilby,3
George Kennedy,4
Terry O'Quinn,3
Robert Sean Leonard,3
Louise Fletcher,4
Hume Cronyn,4
Jason Bateman,5
Stephen Dorff,0
Jim Varney,5
Anthony Barrile,4
Melanie Griffith,5
Kim Basinger,4
Gaspard Manesse,3
Siobhan Finneran,1
Sarah Miles,4
Stéphane Audran,3
Anthony Newley,3
Marianne Sägebrecht,3
Casey Siemaszko,0
David Paul,0
Matt Adler,3
Arye Gross,4
Lindsay Crouse,3
Denzel Washington,5
Frankie Avalon,4
Madonna,4
Chris Cooper,4
Pelle Hvenegaard,3
Ross Bagdasarian Jr.,3
Susanna Hoffs,3
Lisa Schrage,3
Michael E. Knight,0
John Allen Nelson,3
Jim Belushi,5
Colin Firth,5
Shelley Long,5
Lane Smith,0
Emily Lloyd,0
Christine Lahti,3
Tom Hulce,0
Michael Biehn,0
Eric Freeman,0
Linnea Quigley,0
Deborah Winters,0
Ellen Barkin,0
Bill Cosby,3
Emmanuelle Chaulet,3
Robert Townsend,3
Anjelica Huston,5
Joëlle Miquel,1
Christopher Lloyd,0
Martin Short,0
John Malkovich,4
Lori Lethin,3
Sy Richardson,0
Jason Gedrick,3
Loren Avedon,0
James Russo,3
Jodie Foster,5
Julie Walters,0
Heather Thomas,0
Derek Jacobi,3
Noah Taylor,3
Brian Dennehy,0
Bill Paxton,0
Sergio Rubini,1
Darren Robinson,4
Zelda Rubinstein,0
Elaine Stritch,0
Rod Steiger,3
Whip Hubley,3
Fred Dryer,3
Brad Davis,3
Eddie Deezen,0
Joanne Woodward,3
Sally Kirkland,3
Bruce Willis,5
Alec Baldwin,5
River Phoenix,0
Roddy Piper,4
Winona Ryder,5
Annabeth Gish,3
Mitsuo Iwata,3
Philippe Noiret,4
Catherine Hicks,4
Hitoshi Takagi,4
Jean-Claude Van Damme,5
Willem Dafoe,0
Pat Hingle,5
Kelly McGillis,4
Geena Davis,0
Sonny Bono,3
Jeremy Irons,0
Jean-Marc Barr,3
Daniel Day-Lewis,5
Shawnee Smith,0
Joey Lawrence,4
Sherilyn Fenn,3
John Neville,0
Cassandra Peterson,0
Christine Ebersole,0
Steven Seagal,5
Keenen Ivory Wayans,4
Lance Henriksen,0
Terry Kiser,4
Doug Bradley,4
Amanda Donohoe,0
Tami Erin,0
Edward James Olmos,4
Carmen Maura,3
Bubba Smith,4
Cathy Podewell,3
Heather O'Rourke,3
Andy Lau,4
William Ragsdale,0
Jackie Mason,0
Laurence Fishburne,0
Pierce Brosnan,5
Fisher Stevens,3
Bill Pullman,5
Jason Beghe,0
Davor Dujmovic,0
James Le Gros,3
Carl Weathers,4
Sidney Poitier,3
George Dzundza,0
Lukas Haas,0
Phil Collins,3
Scott Grimes,0
Eric Bogosian,0
Justine Bateman,4
Tchéky Karyo,4
Rubén Blades,0
Charlie Schlatter,3
Forest Whitaker,5
Shafiq Syed,3
Yahoo Serious,4
Tom Burlinson,4
Rebecca De Mornay,4
Phil Davis,3
Cyndi Lauper,0
Delphine Zentout,0
Bernard Hill,3
Traci Lords,0
Robert Downey Jr.,5
Billy Crystal,5
Isaach De Bankolé,3
Jennifer Rubin,3
Gena Rowlands,5
Charlotte Burke,3
Cliff De Young,0
Jennifer Jason Leigh,0
Amy Irving,4
Bobcat Goldthwait,3
John Glover,3
George Newbern,3
Richard Hatch,0
Joanna Pacula,0
Tim Daly,0
Natasha Richardson,4
Imogen Stubbs,0
Tony Pierce,3
Meg Tilly,3
Alan Boyce,0
Theresa Russell,0
Pete Postlethwaite,3
Hart Bochner,0
Keanu Reeves,5
Jodi Benson,5
Danny Aiello,4
Dale Midkiff,4
Pauline Collins,3
Julian Sands,3
Fred Savage,4
'Weird Al' Yankovic,3
Victoria Abril,3
Nicole Kidman,5
Morgan Freeman,5
Corey Feldman,3
Greg Evigan,1
Kenneth Branagh,5
Jensen Daggett,4
Robyn Lively,1
Michael Murphy,4
Masatoshi Nagase,0
Sammi Davis,0
Christian Slater,4
Tim Robbins,0
Martin Landau,0
Cybill Shepherd,3
Gabriel Damon,0
Dick Durock,0
Gary Graham,0
Hulk Hogan,4
Randy Quaid,0
Staci Keanan,3
Stephen Caffrey,3
Edward Asner,5
Adrienne Shelly,0
