writer,writer_score
Pamela Falk,5
Robert Dunn,4
Brad Anderson,0
Jon Zack,4
John Cameron Mitchell,3
Gene Brewer,0
Tom Green,3
Herman Raucher,4
Sakichi Sato,0
Harley Peyton,0
Kaja Blackley,0
Andre Dubus,4
Louis C.K.,0
Cinco Paul,5
Stephen Chow,5
John A. Davis,5
Jan Skrentny,0
Keiko Nobumoto,3
Éva Gárdos,3
Michael Bacall,5
Ashutosh Gowariker,3
Michael Sloane,0
Tom Savage,4
Hironobu Sakaguchi,0
Susan Swan,3
Mandy Nelson,0
John Requa,5
Jet Li,4
Shawn Slovo,3
Kassim Jagmagia,3
Laura Zigman,4
Tracy Keenan Wynn,3
Robert Harris,4
Mario Giordano,4
Satoshi Kon,3
Stel Pavlou,0
John Bayley,4
Caroline Link,4
Phil Hay,5
Danis Tanovic,3
Robert O'Connor,0
Jennifer Jason Leigh,4
Tom Butterworth,3
Stan Seidel,0
David L. Watts,0
Wayne Wang,3
Annie Proulx,5
Elisabeth Sanxay Holding,3
Heather Juergensen,4
Jean-Marie Poiré,0
Brian Koppelman,5
Sabrina Dhawan,4
Andrew Bovell,4
Stephen M. Ryder,3
DJ Pooh,3
Adam Simon,5
Peter Gaulke,5
George Durham,0
John J. Strauss,0
Cheryl L. West,0
Stephen Belber,3
Osamu Tezuka,0
John Sweet,0
Nicole Holofcener,4
Lucrecia Martel,3
David Garrett,4
Jacques Audiard,3
Paul Germain,4
Mitch Davis,0
Miklos Nyiszli,0
Paul Felopulos,0
Sebastian Faulks,0
Stan Lee,5
Scott Silver,5
Max Allan Collins,5
Paul W.S. Anderson,5
Jeff Nathanson,5
Alex Garland,5
Paulo Lins,4
Erin Cressida Wilson,5
Gregg Chabot,4
Jay Cocks,5
Douglas J. Eboch,5
Susan Orlean,4
Michael J. Wilson,5
Hillary Seitz,5
Chris Sanders,5
Nia Vardalos,5
Harold G. Moore,4
Nancy M. Pimental,4
Kurt Wimmer,5
Mark Hanlon,4
Brent Goldberg,4
Marv Wolfman,5
Hayden Herrera,4
Feng Li,5
Ellory Elkayem,4
Michael Cunningham,5
Rob Perez,5
Mark Romanek,4
Eli Roth,5
Jean-Claude Brisseau,3
David Kendall,4
Clarence Budington Kelland,5
Saratchandra Chatterjee,3
James Kearns,5
Shonda Rhimes,4
David Benioff,5
Alan Mak,3
Stanislaw Lem,0
Michael Elliot,4
Morton S. Fine,0
Antwone Fisher,4
Will De Los Santos,0
Myeong-chan Park,0
Joseph Finder,4
A.E.W. Mason,0
Ernesto Foronda,3
Louis Begley,5
Dana Carvey,4
Shawn Schepps,4
Howard Swindle,0
Natalie Babbitt,3
Tony Gayton,3
Lucky McKee,0
Brandon Camp,4
Bradley Allenstein,0
Rebecca Wells,4
Steven Knight,5
Azie Faison Jr.,3
Charles F. Bohl,4
Jay Scherick,4
Burr Steers,0
Frank Cottrell Boyce,4
Chap Taylor,4
Janet Fitch,3
Lucas Sussman,0
Dave Barry,0
Joe R. Lansdale,3
Robert Graysmith,0
Michael Connelly,0
Ronald Roose,0
Takashi Shimizu,3
Niki Caro,4
Doris Pilkington,4
Greg Iles,0
Joe Carnahan,5
Mort Nathan,0
Peter Mullan,4
Gary M. Goodman,0
Patrick McGrath,0
David H. Steinberg,0
Joe Jarvis,3
Mark Perez,5
Ronald Lang,4
Stephen Gaghan,5
Casey Affleck,0
Cédric Klapisch,4
Adam Larson Broder,3
Temple Mathews,5
Boris Khaimsky,4
Mars Callahan,0
Moshe Diamant,0
Dashiell Hammett,0
Jaume Balagueró,4
Arlene Klasky,4
Paul Greengrass,5
Brooks Arthur,0
Coleman Hough,3
Brad Silberling,0
John Scott Shepherd,0
Jorge Saralegui,0
Susanne Bier,4
Paul Kimatian,0
Ethan Canin,3
Paul Laverty,5
Josefina Lopez,3
John Stainton,4
Mike McAlary,0
Austin Chick,3
John Carlen,3
Ted Elliott,5
Court Crandall,5
Charles Randolph,5
Kevin Grevioux,5
Garon Tsuchiya,0
Sofia Coppola,5
Larry Doyle,0
Daniel Wallace,4
Gilbert Adair,4
Bong Joon Ho,5
Andrew Stanton,5
Catherine Hardwicke,4
Troy Kennedy-Martin,5
Patty Jenkins,5
Patrick O'Brian,5
Thomas Eidson,0
Tommy Wiseau,0
Robert Hamner,5
Louis Sachar,4
Rob Zombie,5
Michael Cooney,5
Charles Frazier,5
Frank B. Gilbreth Jr.,5
Craig Mazin,5
Michele Alexander,5
William Douglas-Home,4
Lauran Paine,4
Lawrence Konner,5
David Berenbaum,5
David Dorfman,5
Chris Kentis,4
Tracy Chevalier,4
J. Mackye Gruber,5
David Griffiths,0
Eric Garcia,0
Frances Mayes,4
Laura Hillenbrand,5
Alexandre Aja,4
Dean Georgaris,5
Joe Harris,4
Martin Brest,0
David Collard,3
Cooper Layne,4
Alfred Gough,5
Geoff Rodkey,5
Alonzo Brown,4
James Cox,0
Mark A. Altman,3
Jeff Shaara,0
Andre Dubus III,3
Christian Gudegast,5
Tom McCarthy,4
Bernd Lichtenberg,5
James Vanderbilt,5
Philip Roth,0
Ralph Sall,0
Sebastian Gutierrez,5
Ashley Miller,5
Panna Rittikrai,4
Glenn Ficarra,5
Buzz Bissinger,4
Susan Estelle Jansen,4
Frank Hannah,3
Julia Dahl,4
Richard Jefferies,4
Juliette Towhidi,5
Niranjan Iyengar,4
Eric Wald,0
Fax Bahr,4
Vladimir Moiseenko,4
Roger Towne,5
Alexander Trocchi,0
Robert Souza,0
Jan Guillou,3
Sylvain Chomet,3
Dae-woo Kim,3
Charles B. Wessler,4
Robert Drewe,3
Pat Casey,5
Stephen Fry,3
Yann Samuell,4
Eve Ahlert,3
Michael Gougis,0
Anders Thomas Jensen,4
Alfred Cheung,0
Harvey Pekar,4
Fenton Bailey,0
Jason Filardi,5
Sandro Petraglia,3
Doug Jung,4
C. Jay Cox,3
Caspian Tredwell-Owen,4
Jesse Wigutow,4
Laura Angelica Simon,4
Elizabeth Hunter,4
Karl Geurs,5
Mark O'Rowe,3
David Gordon Green,0
Kim Fuller,0
Gary Stephen Ross,0
Carol Doyle,0
Damian Nieman,0
John Brownlow,3
Kate Boutilier,4
Diane Johnson,4
Camille Thomasson,0
Geoffrey Panos,3
Hector Babenco,4
Isabel Coixet,4
Neve Campbell,0
Zeke Richardson,4
Matthew Ryan Hoge,3
Sarah Dessen,0
Mogens Rukov,3
Bob Dylan,3
Jim Adler,3
David Wagner,3
Alec Berg,0
Rawson Marshall Thurber,5
Rosalind Wiseman,5
Brad Bird,5
Leigh Whannell,5
Stuart Beattie,5
Jeff Vintar,5
Paul Haggis,5
Simon Pegg,5
Helen Cross,3
Roland Emmerich,5
J.J. Connolly,4
Jared Hess,5
George Wing,5
Bernd Eichinger,5
Benedict Fitzgerald,5
Will Ferrell,5
Mort Briskin,4
Scott Kosar,5
Patrick Marber,5
Michael Winterbottom,3
George Nolfi,5
Jon Hurwitz,5
Rex Pickett,5
William Blinn,5
Shane Carruth,3
Leigh Dunlap,4
John Hamburg,5
Cate Shortland,3
Derek Drymon,5
Keir Pearson,4
Michael Pye,4
Zach Braff,4
Sarah Thorp,5
Matt Johnson,3
Taylor Hackford,5
Derek Guiley,0
Allan Knee,5
Stephen Susco,5
Jules Verne,0
Chris Van Allsburg,5
Eric Guggenheim,4
Wayne Kramer,0
Mark Amin,4
Gilles Mimouni,0
Laura Albert,3
Dyan Sheldon,4
Bill Cosby,4
Kerry Conran,0
Omar Naim,3
Masayuki Suô,5
Paddy Considine,3
Paul Zbyszewski,3
Sébastien Japrisot,4
Lukas Heller,0
Brian Dannelly,3
Jim Davis,5
Paul Weitz,4
Ronald Everett Capps,3
Mitch Rotter,0
Jacob Estes,3
Kate Gunzinger,3
Angela Robinson,0
Ernesto 'Che' Guevara,5
Bo Zenga,0
Gerry Anderson,0
Emily Fox,0
Matthew Faulk,0
M.G. Sathya,3
Steve Adams,0
Bill Naughton,0
Robert Grasmere,0
Anurag Kashyap,3
Todd R. Jones,4
Georges Chaperot,5
Steven Fechter,3
Park Chan-Wook,4
Will Finn,4
Victor Levin,0
Timur Bekmambetov,4
Stephen Jeffreys,4
Georges Bataille,3
Chris Stokes,4
Kevin Spacey,0
William J. Locke,4
Michael Clancy,0
Dennis Gansel,3
Alice Wu,3
Aditya Chopra,0
Melissa Carter,0
Aline Brosh McKenna,5
Lingard Jervey,3
Joshua Marston,4
Michael Dowse,0
Nikolaj Arcel,5
Javed Akhtar,4
Farah Khan,4
Richard Epcar,5
Chimo,3
Michael Genet,0
Robin Nishi,3
Anders Nyberg,4
Vijay Krishna Acharya,3
Rhett Reese,5
Thomas Bahmann,3
Robin Swicord,5
Deborah Moggach,5
Neil Marshall,4
Frank Miller,5
Ann Peacock,5
Steve Faber,5
Josh Friedman,5
William Monahan,5
Jamie Delano,5
Douglas Adams,5
Mark Frost,5
Lexi Alexander,3
Simon Kinberg,5
Rob McKittrick,5
Paul Hernandez,4
Mark Burton,5
Brian Nelson,5
Ann Brashares,4
Carl Ellsworth,5
Charles Belden,4
David Elliot,4
Gy Waldron,5
Johnny Cash,5
Stacy Peralta,0
Tony Kushner,5
Brett Halliday,3
Jeffrey Caine,5
Thomas Lennon,5
Kevin Bisch,5
Neil Gaiman,4
Stephen Chbosky,5
Ron Mita,5
Peter A. Dowling,5
Kôji Suzuki,4
Abdi Nazemian,0
Adam 'Tex' Davis,4
Ron Burch,4
Cliff Hollingsworth,4
Emma Thompson,5
Clive Cussler,0
Dan Gilroy,5
Terrence Malick,4
Rian Johnson,5
Greg McLean,4
Paul Harris Boardman,5
Dave Callaham,5
Roberto Orci,5
Lance Khazei,0
Ricky Blitt,4
Michael Steinberg,3
Ol Parker,5
Peter Tolan,4
Dan Futterman,4
John J. McLaughlin,3
Anya Kochoff,5
Hunter Richards,3
Tyler Perry,5
Steve Box,5
Jeffrey Hatcher,5
Tom Bleecker,0
Elizabeth Young,4
Jason Reitman,4
Ari Schlossberg,5
Geoff Deane,4
John Turturro,3
Michael McQuown,4
Robert Crais,4
Terence Winter,5
Todd Edwards,5
Guinevere Turner,0
Patrick Melton,5
Mike Jefferies,4
Mary Harron,3
George Clooney,5
Colin Patrick Lynch,4
Jeff Wadlow,5
Nick Cave,4
Roger Donaldson,0
Craig Brewer,4
Richard Shepard,0
Jennifer Weiner,5
Kate DiCamillo,4
Claire Cook,4
William Rose,5
Rebecca Miller,0
William B. Breuer,0
Tony Grisoni,0
Norman Vance Jr.,4
Elan Mastai,0
Brent Monahan,4
Niall Johnson,5
Steven Gary Banks,5
Napalee,4
David Auburn,5
David Schmidt,5
Steve Conrad,5
Eric Kripke,4
Dirk Wittenborn,3
Miranda July,3
Duncan Tucker,4
Guillermo Cabrera Infante,0
Arie Posin,0
George Webster,4
Angus MacLachlan,0
William Wisher,0
Carlos Reygadas,3
Jennifer Flackett,3
John Gatins,5
Sanjay Leela Bhansali,3
Anonymous,3
Christian Carion,4
Jenny McCarthy,3
Jonathan Safran Foer,0
Walter Kirn,5
Bill Wolff,0
Chris Morgan,5
Jonathan Nolan,5
Zack Snyder,5
Mel Gibson,5
Ewan Leslie,4
Todd Field,0
Michael Arndt,5
Peter Morgan,5
Florian Henckel von Donnersmarck,5
Robert Ben Garant,5
Alex Kurtzman,5
Russell Gewirtz,5
Adam Cooper,5
Michael Dougherty,5
J.S. Cardone,5
Danny McBride,5
Jason Smilovic,4
Shane Meadows,4
Sean Ellis,3
Bill Marsilii,5
Barry Wernick,3
Jack Black,0
Sacha Baron Cohen,5
John Heffernan,4
Mark Neveldine,0
Neil Burger,5
Zach Helm,4
Nick Cassavetes,4
John Quaintance,4
Jeff Lowell,5
Peter Buchman,5
Tom Eyen,5
Sheldon Turner,4
Yasutaka Tsutsui,3
Dan Harmon,5
Andrea Berloff,5
Don Calame,4
Allen Covert,4
Ron L. Brinkerhoff,4
Werner Herzog,0
Jake Wade Wall,4
Jeremy Garelick,5
Guillaume Canet,5
Iris Yamashita,4
Tom J. Astle,5
Richard Wenk,5
Don Payne,5
Steve Bencich,5
Luke Davies,0
Leslie Caveny,3
William Brent Bell,5
Tracy Letts,4
Michael Arlen Ross,3
Tristan Carné,3
David Von Ancken,0
Brad Gann,4
Joe Forte,4
Adam Green,3
Jamie Linden,5
Michelle Gallagher,3
Captain Mauzner,0
Doug Atchison,3
Peter Straughan,0
Cheryl McKay,3
Céline Garcia,4
David DiGilio,5
Zhihong Bian,4
Joachim Trier,0
Phil Sears,0
Sidney Lumet,0
Michael LeSieur,5
Ursula K. Le Guin,5
Christopher Cleveland,5
Goran Dukic,0
Dan Madigan,4
Steven Zaillian,5
Paul Bernbaum,0
Jean-François Halin,4
Tina Gordon,4
Anthony Horowitz,4
Chris Chow,5
Scott Glosserman,3
Ryan Fleck,3
Douglas McGrath,0
Jonathan King,3
Dianne Houston,4
Renzil D'Silva,4
Kevin Bernhardt,0
Richard Maltby Jr.,3
Ben Best,3
Mark Polish,0
David Nicholls,4
Nick Guthe,0
Todd Robinson,0
Dito Montiel,3
Robert Kurtz,0
James Moran,3
Katherine Brooks,0
Jonathan Raymond,3
Wil Shriner,0
Jane Goldman,5
Ben Affleck,0
Christopher Landon,5
Seth Rogen,5
Jonathan Lemkin,4
John Carlin,5
Edgar Wright,5
Diablo Cody,5
Rowan Joffe,5
Frank Darabont,4
Pam Brady,4
Jeff Stockwell,5
Emma McLaughlin,4
Halsted Welles,4
Jeff Cox,5
Steve Niles,4
Joby Harold,0
Jerry Seinfeld,5
Scot Armstrong,5
Shane Salerno,5
Matt Greenberg,5
Matthew Michael Carnahan,5
Andrew Dominik,4
Josh Stolberg,5
Chris Weitz,5
David Ross,3
Nacho Vigalondo,0
Justin Zackham,5
Eileen Chang,4
Oren Peli,5
Kelly Masterson,3
Jon Vitti,5
Marianne Wibberley,5
Nancy Oliver,0
Sergio G. Sánchez,5
Nichole Millard,5
Mitchell Lichtenstein,3
Dean Craig,5
Brad Copeland,5
Mark L. Smith,5
Amole Gupte,4
Todd Komarnicki,5
Scott Wiper,3
Will Forte,0
John Burnham Schwartz,0
Fernley Phillips,4
Deborah Curtis,4
Isabelle Sobelman,5
John Carney,5
Lee Anthony Smith,4
Adrienne Shelly,4
Carol Fuchs,5
Kevin Munroe,5
Jonah Markowitz,3
Chad Gomez Creasey,0
Adam Mazer,4
Doug Taylor,0
Laeta Kalogridis,5
Ed Yeager,0
Howard A. Rodman,0
Ian Mackenzie Jeffers,0
André Batista,4
Mark Wheaton,4
Céline Sciamma,4
Carey W. Hayes,4
David Kajganich,0
Marjane Satrapi,4
Robert Eisele,4
Jeff Hammond,0
Cristian Mungiu,4
Dan Fogelman,5
Gustin Nash,0
Mick Davis,0
Jez Butterworth,5
Hideaki Anno,5
Arif Aliev,4
Loren Taylor,3
Laura Kasischke,0
Adolf Burger,4
Jeff Nichols,4
Jonathan Kasdan,5
David Gilbert,3
Imtiaz Ali,3
Kelley Sane,0
Kim Barker,5
Dylan Haggerty,3
Melisa Wallack,3
Robert Adetuyi,5
Deborah Kampmeier,0
J.P. Schaefer,3
Uwe Boll,0
Garth Jennings,5
Allan Loeb,5
Melissa Rosenberg,5
Mark Fergus,5
Jonathan Aibel,5
Justin Theroux,5
Catherine Johnson,5
Bryan Bertino,5
Michael Brandt,5
Justin Haythe,5
Jason Segel,5
Grant Nieporte,5
Martin McDonagh,5
Michael Patrick King,5
Nick Schenk,5
Mark Boal,5
Art Monterastelli,5
James Watkins,3
Robert Siegel,4
Drew Goddard,5
J. Michael Straczynski,5
John Glenn,5
Vy Vincent Ngo,5
Michael D. Weiss,5
Ric Roman Waugh,0
Sean Anders,5
Andrew Adamson,5
John Boyne,4
John Ajvide Lindqvist,4
Timothy Dowling,5
Clayton Frohman,4
Lucy Dahl,3
Brock Norman Brock,3
Nicholas Stoller,5
Nick Santora,0
Adam Sandler,5
John Claflin,4
Lorene Scafaria,5
Karey Kirkpatrick,5
Beau Thorne,4
Dustin Lance Black,5
Etan Cohen,5
Jody Savin,0
Maya Forbes,5
Toni Ann Johnson,5
Darren Smith,0
Dirk Blackman,0
David Magee,4
Enda Walsh,3
Diane English,4
Matt Lopez,5
Jeff Buhler,3
Kristofor Brown,4
Adam Sztykiel,5
Dana Fox,5
David Lindsay-Abaire,5
Robert Knott,4
Barry L. Levy,5
Heidi Ferrer,3
Robert Fyvolent,4
John Woo,5
Megan Holley,4
Peter Barsocchini,5
Jenny Lumet,4
Duncan Brantley,0
Henry Gilroy,5
Michael McCullers,5
Joseph Kwong,5
Caroline Thompson,0
John Erick Dowdle,5
Jason Richman,0
Matt Allen,5
Elizabeth Chandler,4
José Saramago,0
Sharman Macdonald,3
Shamim Sarif,3
Roberto Saviano,4
Mark Richard,0
Maurice G. Dantec,3
Jee-woon Kim,4
Ronnie Christensen,0
Luke Dawson,5
Mark Bomback,5
Piyush Mishra,4
Olly Blackburn,3
Frank Spotnitz,4
Gabrielle Bell,3
Alex Kendrick,5
Jeffrey Nachmanoff,3
Jordan Cahan,4
Hu Hong,0
Darnell Martin,0
Tony Burgess,0
Analisa LaBianco,5
Ari Folman,4
Kundô Koyama,5
Glenn Gers,3
Michel Gondry,4
Art Linson,0
Rob Greenberg,0
Mabrouk El Mechri,3
Chris McKenna,5
Jonathan Levine,4
Courtney Hunt,3
S.R. Bindler,0
Joel Hopkins,4
Kent Harper,0
David Hayter,5
Jon Lucas,5
Scott Neustadter,5
Michael Robert Johnson,5
Neill Blomkamp,5
David Leslie Johnson-McGoldrick,5
Rajkumar Hirani,5
Ernest Cline,0
Henry Selick,5
Duncan Jones,3
Ronan Bennett,5
Tom Six,3
Peter Chiarelli,5
Jaco Van Dormael,0
Will Gluck,5
Efthymis Filippou,3
Joe Penhall,3
Shauna Cross,5
Eduardo Sacheri,4
Travis Milloy,0
Adam Alleca,4
Spike Jonze,4
Harold Ramis,3
Geoffrey Fletcher,4
Phil Lord,5
Anthony Peckham,5
Nicole Eastman,5
Ricky Gervais,4
Olatunde Osunsanmi,4
Matthew Sand,4
Jon Ronson,4
Chris Henchy,0
Christopher Isherwood,4
Philippe Diaz,3
Jason Hall,5
Ray Wright,4
Eric Bress,5
Randy T. Dinzler,0
Michael Spierig,4
Lynn Barber,4
Scott Cooper,4
Michael Berg,5
Eric Warren Singer,5
Craig Rosenberg,5
Todd Farmer,5
Tracey Jackson,5
Pamela Pettler,4
Vincenzo Natali,0
Thomas Bidegain,3
Greg DePaul,5
Michael Ferris,4
Nicolas Winding Refn,3
Andrea Arnold,3
David Bourla,4
Agnieszka Wojtowicz-Vosloo,0
Kevin James,5
Émile Zola,4
Reggie Rock Bythewood,4
Julia Baird,3
Jonas Frykberg,5
William M. Finkelstein,0
Michael Jai White,0
Michael C. Martin,4
Jesse Armstrong,4
Dan Berendsen,5
Asghar Farhadi,4
Daniel Kunka,0
Barbara Alberti,4
Ti West,0
Àlex Pastor,4
Mike Reiss,3
Dave Eggers,0
Jody Hill,4
Gary Young,3
Scott Z. Burns,5
John Hindman,3
Joe Stillman,5
Cary Joji Fukunaga,0
Raymond De Felitta,3
Edmonde Charles-Roux,4
Tommy Wirkola,5
Mamoru Hosoda,4
Alessandro Camon,0
Rick Jacobson,3
Jon Hoeber,5
Michele Mulroney,5
Tomm Moore,0
J Blakeson,3
Andy Stock,3
Zach Cregger,0
Justin Marks,5
Michel Franco,3
Robert Munic,4
Tatiana von Fürstenberg,0
Ben Court,3
Mark Heyman,5
Peter Craig,5
Rob Reiner,0
Gareth Edwards,3
Adam Rockoff,0
Steve Antin,4
Craig Titley,5
Travis Beacham,5
Gary Whitta,5
Derek Cianfrance,4
Patrick O'Neill,5
Pete Goldfinger,5
Danny Boyle,4
Adam McKay,5
Edward Kitsis,5
Ian Deitchman,5
Park Hoon-jung,4
Bert V. Royal,5
David Seidler,5
Matthew Vaughn,4
Alan Schoolcraft,5
Christopher Murphey,5
Ryan Murphy,5
David Michôd,0
Josh Heald,4
Jackie Filgo,4
Alex Litvak,5
Chris Sparling,0
Peter Schink,4
Will Fetters,5
Debra Granik,4
Peter Allen,4
Taika Waititi,5
Slavomir Rawicz,0
Bob DeRosa,4
Eli Craig,3
Alan R. Cohen,5
Anna Boden,5
Josh Klausner,5
Christopher Markus,5
Matt Reeves,3
Christopher Morris,3
Floria Sigismondi,0
Panos Cosmatos,0
Joshua Cordes,5
Phra Sripariyattiweti,3
Jeong-beom Lee,4
André Øvredal,3
Katherine Fugate,5
Jose Rivera,4
David Guion,5
Richard Ayoade,3
Amy Andelson,5
Dario Poloni,3
Robb Cullen,4
Quentin Dupieux,0
Alejandro G. Iñárritu,5
Moe Jelline,4
Adi Hasak,4
Kaneo Ikegami,4
Marcus Hinchey,3
Lucinda Coxon,4
Geoff LaTulippe,4
Tai-lee Chan,5
Jonathan Bernstein,4
Larysa Kondracki,3
Posy Simmonds,4
Jordan Melamed,0
Ki-young Kim,4
Mike Mills,4
John Orloff,4
Andy Bellin,0
Shibani Bathija,4
Massy Tadjedin,4
John Wells,0
Mark Duplass,3
Michael R. Perry,5
John Curran,0
Robert Pulcini,0
Huck Botko,5
Abe Sylvia,0
Baran bo Odar,3
Kate Angelo,5
Chuck Konzelman,3
Vikramaditya Motwane,3
Shana Feste,4
Craig Pearce,3
Daniel Espinosa,4
Nick Damici,0
Anthony Jaswinski,5
James D. Solomon,0
Michael Carnes,3
Julie Taymor,0
Sacha Gervasi,0
Jennifer Ventimilia,5
Tatiana De Rosnay,4
Sngmoo Lee,0
Unknown,5
Spencer Susser,0
Nick Tomnay,0
Mark Jacobson,0
Alain Corneau,3
Dan Rush,0
Kristen Wiig,5
Olivier Nakache,5
Tate Taylor,5
Elizabeth Meriwether,5
Gavin O'Connor,0
Keith Merryman,5
Charley Parlapanides,5
Gene Stupnitsky,5
Steve McQueen,4
Oliver Butcher,5
Thomas Dean Donnelly,0
Ben Ripley,5
Michael Markowitz,5
Carlos Saldanha,5
Thierry Jonquet,4
Julia Leigh,3
Rick Jaffa,5
John Romano,4
Shawn Christensen,4
Gareth Evans,4
J.C. Chandor,4
Sean Durkin,3
Seth Lochhead,4
Will Reiser,4
Hergé,5
Jon Spaihts,5
Eric Heisserer,5
Simon Barrett,5
Farhan Akhtar,3
Alice Addison,3
Ben Zook,5
Nick Bakay,5
Pete Jones,4
Brian Gatewood,4
Scott M. Gimple,5
Christopher Bertolini,5
Matt Sherring,0
Will Hayes,4
David Loucka,5
Marti Noxon,4
Michel Hazanavicius,5
Pierre Drieu La Rochelle,3
Shaun Grant,0
Jennie Snyder Urman,4
Cory Goodman,5
Hamish McColl,5
Iain Morris,5
Gabe Sachs,4
Ben Wheatley,3
Yasmina Reza,3
Joe Cornish,0
John Michael McDonagh,4
Mike Cahill,3
Kim Fupz Aakeson,3
Drake Doremus,3
Karyn Bosnak,4
Carl Lund,3
Rob Sprackling,5
Tom Wheeler,5
Daniel Barnz,4
Gavin Wiesen,3
Adrian Hodges,4
Paolo Sorrentino,5
Jason A. Micallef,3
Skip Hollandsworth,3
Bragi F. Schut,5
Gustavo Hernández,4
Stephen J. Anderson,4
John Davies,0
Karl Mueller,0
Sonny Mallhi,4
Michael Petroni,5
Zal Batmanglij,0
Madonna,0
Jay Baruchel,3
Bertrand Bonello,3
Jesse Peretz,4
Andrew Haigh,4
John Garvin,5
Ulf Ryberg,4
Karl Gajdusek,5
Jason Keller,0
Tetsurô Sayama,4
Michael Diliberti,4
Abi Morgan,5
Lynn Shelton,3
Don Ferrarone,3
Sarah Polley,3
Alex Gregory,3
Stéphane Rybojad,3
Brian Miller,4
Brian Patrick O'Toole,0
Tine Byrckel,3
Leslie Schwartz,3
Stephen Dyer,0
Kyle Killen,0
Laurent Turner,3
Matthew Fogel,4
Ercan Kesal,3
Karen Janszen,5
Kay Cannon,5
Tobias Lindholm,4
Chris Terrio,5
Lee Child,5
David Mitchell,4
Evan Daugherty,5
Seth MacFarlane,5
Scott Derrickson,5
David Caspe,0
Brenda Chapman,5
Seth Grahame-Smith,5
Reid Carolin,5
Peter Baynham,5
Len Wiseman,5
David Guggenheim,5
Rich Moore,5
Matt Drake,5
David Wain,4
Yann Martel,5
Brian Gunn,5
Jared Stern,3
Derek Connolly,5
Max Landis,5
Dan Mazeau,5
Pablo F. Fenjves,3
Morgan Land,0
Moira Buffini,3
Eric Darnell,5
Ben Lewin,4
Susan Hill,5
Mike Cerrone,4
Craig Zobel,3
Dax Shepard,4
Kurt Johnstad,5
Jack Kerouac,0
Lisa Azuelos,0
Brad Miska,3
David Cohen,0
Stephen Elliott,0
Amanda Brody,5
Zoe Kazan,3
Josh Boone,3
Juliet Snowden,5
M.J. Bassett,4
Tim Macy,0
Marc Moss,0
Randy Brown,4
Lee Kirk,3
Chris Butler,0
Aaron Guzikowski,5
Rodrigo Cortés,4
Nicholas Jarecki,4
RZA,3
Leonard Ripps,4
Bodil Steensen-Leth,4
Noah Haidle,0
Zach Dean,0
Michael Wallach,3
Brian Klugman,4
Johan Heldenbergh,3
Sean Baker,4
John Hyams,0
John Krasinski,0
Lucy Alibar,4
Juan Mayorga,4
Todd Lincoln,0
James Mather,4
Kario Salem,0
Stacy Sherman,0
Leslye Headland,4
D.V. DeVincentis,0
Sujoy Ghosh,3
Lisa Addario,5
Hannah Shakespeare,3
Josh Radnor,0
Petter Skavlan,3
Matt Ross,4
Juan Solanas,0
David Chase,0
Andrew Stern,0
Alice Lowe,3
Gideon Defoe,5
Rashida Jones,3
Vanessa Taylor,5
Ant Timpson,3
Ole Meldgaard,3
Nick Love,4
Anurag Basu,3
Guy de Maupassant,4
Paul Andrew Williams,4
Bob Barlen,4
Katie Anne Naylon,3
Jack Amiel,0
Nancy Doyne,0
Max Werner,0
Benoît Jacquot,3
Christopher Ford,3
Drew Pearce,5
Chad Hayes,5
Christopher L. Yost,5
Walter Campbell,0
Abdellatif Kechiche,4
Jacques Lob,4
Bob Fisher,5
Jennifer Lee,5
Dan Scanlon,5
Joseph Gordon-Levitt,4
Rocky Russo,4
Craig Borten,4
Nat Faxon,4
Vince Vaughn,4
Fede Alvarez,5
Creighton Rothenberger,5
Brad Ingelsby,4
James Ward Byrkit,3
Gavin Hood,4
Wentworth Miller,3
Jessica Postigo,4
Andy Muschietti,5
Miles Chapman,5
Adam Marcus,4
Anne Fontaine,0
Kyle Ward,0
Isaac Marion,5
Marc Guggenheim,5
Will Beall,4
Mike Flanagan,5
Aharon Keshales,3
Richard D'Ovidio,5
Maggie Carey,3
Lawrence D. Cohen,5
Darren Lemke,5
Blake Masters,5
Katie Dippold,5
Misan Sagay,3
Keith Bunin,3
Danny Strong,5
Andrew Knauer,3
Jon S. Baird,3
Ken Scott,4
Neil Elman,3
Destin Daniel Cretton,4
Kelly Marcel,5
Markus Zusak,5
Daniel Schechter,0
Gary Hawkins,0
Joey Soloway,3
Erica Rivinoja,5
Jeremy Saulnier,0
Scott Stewart,4
Bob Nelson,4
Chris Galletta,3
Prasoon Joshi,4
Joe Ahearne,3
Brian Tucker,0
Pat Rushin,0
Guy Holmes,0
Jonathan Goldstein,5
Jerusha Hess,3
Austin Bunn,3
Ryan Coogler,5
Gia Coppola,3
Johnny Knoxville,5
Steve Coogan,5
Matt Whiteley,4
Philip Gelatt,3
Dan Mazer,4
Jonathan Asser,3
Michael Starrbury,3
Marlon Wayans,5
Isao Takahata,4
Fyodor Dostoevsky,3
Hussain Dalal,4
Meg Rosoff,0
Peter Landesman,4
Amy Jump,4
Kevin Dreyfuss,3
Daniel Domscheit-Berg,0
Pawel Pawlikowski,4
Marion Nelson,3
Andrew Dodge,0
Lake Bell,3
David Lowery,5
Michael G. Cooney,0
Ritesh Batra,4
Sean Finegan,0
Derek Kolstad,5
Gillian Flynn,5
Stefan Zweig,5
Damien Chazelle,5
Noah Oppenheim,5
