writer,writer_score
John Brownjohn,0
Chris Bryant,0
Harry Shearer,0
Claude Berri,4
Stephen Volk,3
Robert T. Megginson,4
Ronald Shusett,0
Lucy Irvine,0
George Gallo,5
Walon Green,0
Rhet Topham,4
Shel Lytton,0
David Franzoni,5
Bill Phillips,3
Edwin Blum,4
Stephen Tobolowsky,3
Raymond Briggs,3
Gail Morgan Hickman,3
Diana Henstell,4
Tom DeSimone,3
Leo Garen,0
Donald P. Borchers,3
Garry Marshall,4
Ted Nicolaou,3
Thomas Michael Donnelly,3
William Mastrosimone,4
Leonard Michaels,3
Gene Wilder,0
Marie Rivière,3
James Orr,4
Paul De Meo,3
Robert Gosnell,3
Laurie Craig,4
Kevin Tenney,3
Michael Frayn,0
Ivan Reitman,4
Lee David Zlotoff,3
Rocco Urbisci,3
Michael Patrick Goodman,3
Evan Archerd,3
James Cresson,4
Beth Henley,3
Becky Johnston,4
David Parker,0
Janis Allen,3
Colin MacInnes,3
Jeffrey Delman,3
James Booth,3
William Goldman,0
Barney Cohen,0
Tony Kayden,3
Emilio Estevez,4
John Kohn,0
David Himmelstein,0
Mark Feldberg,4
David Beaird,3
W.E. Johns,0
Edward Behr,3
Moshé Mizrahi,3
Denys Arcand,4
Mark Griffiths,3
Douglas Bowie,3
Alan Friedman,3
David Rayfiel,0
Naomi Foner,0
Bill Sherwood,0
Steve Zacharias,4
George Arthur Bloom,3
Bob Weinstein,3
Marsha Norman,3
Wayne Crawford,3
Paul Nicholas,3
Ross Macdonald,0
Milton Wexler,3
Thom Keyes,0
Bertrand Blier,3
Jon Boorstin,3
Scott Fields,3
Julian Bond,3
Leon Isaac Kennedy,3
Renny Harlin,0
Linda Remy,3
Eliseo Subiela,0
Kent Stowell,3
Bruce Beresford,0
Henning Carlsen,3
Malcolm Barbour,3
T.L. Lankford,0
Tom Kempinski,3
John Sheppard,3
Richard Wesley,0
Deran Sarafian,0
Leo Fong,0
Claude Lelouch,0
Jan Fischer,4
Stanley Kubrick,5
Jim Thomas,5
Edward Neumeier,5
David Simkins,4
Shane Black,5
Kathryn Bigelow,3
Edward Rugoff,4
James Dearden,5
Clive Barker,4
Tom Stoppard,4
Kenneth Fearing,4
John Updike,4
John Patrick Shanley,5
Stanley Weiser,4
Mitch Markowitz,5
Michael Swerdlick,5
Leslie Dixon,5
Gary Conway,0
Mark Peploe,4
Bret Easton Ellis,4
Wim Wenders,5
James L. Brooks,5
William Dear,4
Carolyn Lefcourt,3
Tab Murphy,5
Virginia C. Andrews,4
Mick Garris,5
Edmond Rostand,4
Stu Silver,4
Michael Barrie,3
Helene Hanff,3
Michael Nankin,4
John R. Cherry III,4
Robert Altman,0
Anne Holden,3
Charles Bukowski,3
Louis Malle,3
Andrea Dunbar,3
John Boorman,4
Dick Wolf,0
Elaine May,0
Norman Mailer,0
Linda Palmer,3
Eleonore Adlon,3
Richard Christian Matheson,0
Alberto Piferi,0
William Phelps,3
Nicholas Conde,3
Brian Garfield,0
A.J. Quinnell,5
Richard Sale,3
James Komack,4
Howard Franklin,0
Andrew Smith,0
John Milius,0
Martin Andersen Nexø,3
Eric Roth,5
George Axelrod,3
Janice Karman,3
Tamar Simon Hoffs,3
Ron Oliver,3
Joe Menosky,3
Manya Starr,3
Denis Hamill,3
Simon Gray,0
Lorne Cameron,5
Doug Lefler,0
Clark Howard,3
Irwin Yablans,0
David Leland,0
René Laloux,3
David Freeman,0
David Berry,3
John Lahr,3
Frank Deese,0
Avi Kleinberger,3
Marilynne Robinson,3
Jack Higgins,0
Don Keith Opper,0
William P. Wood,0
Mario Puzo,4
Michael Hickey,0
Dave Eisenstark,0
